prompt,tipo_busqueda_correcta,campo_correcto,valor_correcto,timestamp
"Necesito que me digas que personas se hubican en hidalgo, zapopan",direccion,sector y municipio,"hidalgo, zapopan",2025-05-19 09:31:12
¿A quien le pertenece esta tarjeta 5471560100011115?,atributo,tarjeta,5471560100011115,2025-05-19 10:18:46
Sabes si hay personas que se dediquen a ser estudiantes?,atributo,ocupacion,estudiante,2025-05-19 10:26:17
¿A quien puedo localizar en lomas de atemajac?,direccion,colonia,LOMAS DE ATEMAJAC,2025-05-19 11:33:08
Quien se ubica en zapopan?,direccion,municipio,zapopan,2025-05-19 11:36:00
Cuantas personas hay del DF?,direccion,estado,DF,2025-05-19 11:37:54
Cuantas personas viven en RAMOS MILLAN,direccion,colonia,RAMOS MILLAN,2025-05-19 11:41:56
Quien vive en la calle RIO BLANCO?,direccion,calle,RIO BLANCO,2025-05-19 12:40:27
A quien le corresponde este numero de telefono 3586127?,telefono,telefono,3586127,2025-05-19 12:58:17
De quien es el telefono 9153586127,telefono,telefono,9153586127,2025-05-19 12:59:20
